Cittadinanza;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Afghanistan;22;25;23;20;29;28;23;21;13;13;12;12;7;0;12;13;9;9;9;9;9;10;9;10;3;3;11;15;23;31;60;104;101;165
Albania;34;30;28;27;31;28;26;23;22;20;19;19;62;0;242;338;438;531;837;1367;1576;2205;2997;3240;2861;3672;4273;4475;4529;4608;5012;5283;5441;5805
Algeria;76;86;127;147;143;139;142;136;74;81;88;102;56;0;218;239;235;251;316;452;478;519;594;548;378;450;520;549;574;599;631;667;667;678
Altre nazioni o n.d.;7578;7606;7722;7744;400;0;0;0;168;164;161;155;0;201;15;144;132;120;0;0;3;3;3;2;0;0;0;0;0;0;0;0;0;0
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
Angola;3;1;1;1;2;3;3;3;1;1;2;8;20;0;25;28;30;29;33;37;41;39;53;61;53;54;50;46;46;41;45;44;45;52
Antigua e Barbuda;0;0;0;0;0;0;0;0;1;1;1;1;3;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Apolide;0;0;0;0;0;0;0;0;79;75;73;67;0;0;54;56;52;46;45;44;38;35;34;28;11;10;11;12;11;12;13;14;15;13
Arabia Saudita;7;7;9;10;11;8;8;7;7;7;7;7;6;0;4;4;4;4;5;4;5;5;5;5;1;1;2;3;3;3;3;3;2;3
Area Ex-Urss;33;31;40;36;71;75;81;88;46;59;63;80;151;0;194;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;224;237;262;299;386;383;375;361;376;401;411;501;412;601;572;569;565;541;545;572;577;585;626;654;418;506;552;571;552;525;543;582;618;661
Armenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;9;12;14;12;12;21;22;25;25;26;36;42;46
Australia;51;58;64;57;80;86;95;85;85;88;93;88;53;0;109;111;118;124;129;135;136;147;156;154;79;95;106;114;114;121;121;126;145;148
Austria;503;505;466;447;558;526;512;501;542;547;529;531;282;506;495;507;502;499;492;533;529;527;543;518;324;326;341;334;325;341;365;365;361;378
Azerbaigian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;5;19;18;16;9;20;22;23;22;26;26;24;25
