FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1291	432	412	443	535	655	1283	0	5051	
3 a.m. to 5:59 a.m.	707	346	277	299	329	398	752	0	3108	
6 a.m. to 8:59 a.m.	435	567	557	565	523	580	488	0	3715	
9 a.m. to 11:59 a.m.	497	510	584	472	500	589	574	0	3726	
Noon to 2:59 p.m.	706	699	687	741	667	778	772	0	5050	
3 p.m. to 5:59 p.m.	851	827	878	846	864	961	921	0	6148	
6 p.m. to 8:59 p.m.	913	725	695	775	783	1018	1033	1	5943	
9 p.m. to 11:59 p.m.	644	566	640	676	700	1068	1127	0	5421	
Unknown	90	25	24	38	33	43	69	7	329	
Total	6134	4697	4754	4855	4934	6090	7019	8	38491	
