	Day of Week	
FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	

Midnight to 2:59 a.m.	961	351	259	304	354	538	999	0	3766	
3 a.m. to 5:59 a.m.	609	238	224	219	253	326	554	0	2423	
6 a.m. to 8:59 a.m.	305	444	442	452	462	458	403	0	2966	
9 a.m. to 11:59 a.m.	342	421	430	411	381	433	454	0	2872	
Noon to 2:59 p.m.	590	541	532	504	582	576	653	0	3978	
3 p.m. to 5:59 p.m.	655	664	679	693	649	706	719	0	4765	
6 p.m. to 8:59 p.m.	681	613	608	588	658	715	889	0	4752	
9 p.m. to 11:59 p.m.	486	475	456	462	560	805	896	0	4140	
Unknown	39	26	24	24	19	30	43	0	205	
Total	4668	3773	3654	3657	3918	4587	5610	0	29867	
